"","Group.1","rice-a","barley-a","bean-a","potato-a","vegi-a","fruit-a","flower-a","misscrop-a"
"1","Air-c",547.822362793775,14.1776362790347,0,59.000007847,64.9999683048,49.999925203,2479.000075439,277.99995619
"2","Auto-c",397.145652312804,4.85429914811264,568.00000089,0,1997.99983905,5243.000036175,165.000002548,562.999963302
"3","Barley-c",49218.5395968707,6527.45912244342,0,0,0,0,0,0
"4","Bean-c",0,0,450.000000539,0,20019.000005072,0,0,0
"5","Capital",4938301.4964324,132024.50228243,469114,358778,5672932,2250830,696339,1683165
"6","Cement-c",77.99998752,69.999997896,0,0,368.0001204,654.0000033,0,341.000034984
"7","Chemistry-c",632757.343188175,16639.6567580763,20338.000002231,33103.000003091,1398465.00052275,507676.99998335,175203.000124152,134885.999972411
"8","Coal-c",0,0,0,0,0,0,0,0
"9","CoalPro-c",0,0,0,0,44569.999934949,1617.999978255,37686.999870479,0
"10","Commercial-c",927466.531084159,20685.4680590754,21492.000018922,32318.000099567,709761.001257057,247010.000023902,137193.000037211,139092.000078777
"11","Const-c",15414.7803411829,684.219656313903,402.99999993,800.999999554,20269.99999152,8831.000002026,5845.000002664,4323.999995166
"12","Dairy-c",2339.999959752,195.000002064,0,0,3529.00016175,722.99992978,0,14.999976936
"13","Diesel-c",76226.3007834735,3707.69924859944,5909.999999464,5749.999997178,60104.000064382,50616.000026919,226687.999881315,11846.99999475
"14","ELEC-c",30533.6847329627,827.315155322586,1147.00000272,1092.000002915,8572.999858591,17033.000042112,15546.999996885,1508.0000004
"15","Electronics-c",123.046345036459,2.95367454155938,0,0,634.00014633,854.000077011,7440.999930384,884.000054007
"16","FF-c",4387.99996908,268.000002144,394.000000002,355.00000599,18205.999923075,9359.99995781,642.999960224,3965.999954364
"17","FiberLeather-c",33416.0958813026,1236.90425190467,955.000000962,15.000004584,86341.00006695,5138.00021254,1054.00006462,17985.99992049
"18","Flower-c",23.3835546991257,0.616418255852435,0,0,0,0,84471.00001018,0
"19","Food-c",733.78775928488,25.2121970015987,54.000000117,21.000009213,756.000018225,1011.999839875,425.999910572,5933.000021067
"20","Fruit-c",0,0,0,0,0,0,0,0
"21","Fueloil-c",3088.37749708645,80.6224620106438,0,0,1409.000066481,10345.999959621,24407.000024137,35.9999919
"22","GAS-c",1806.99974659341,46.0002642084037,0,0,125.999952898,33.999994782,2850.999857363,341.99999415
"23","Gasoline-c",10062.4995387012,274.500500732822,690.999996456,663.999997546,6046.000028545,1842.999972648,466.999848351,1744.000008525
"24","HEAT-c",0,0,0,0,0,0,0,0
"25","Housing-c",0,0,0,0,0,0,0,0
"26","IS-c",0,0,0,0,2128.999932825,787.000005915,13583.999938092,0
"27","Jetoil-c",0,0,0,0,0,0,0,0
"28","Kerosene-c",1500.37733682442,38.6226690103566,57.00000372,57.999999557,157377.999899431,33.999994782,1725.999978442,2111.999992875
"29","Labor",255831.758134548,10676.2415663704,13953,35963,498058,216959,55854,182279
"30","LNG-c",0,0,0,0,0,0,0,0
"31","LPG-c",1249.21143730151,119.788541896594,18.000003648,17.999999339,671.999934718,258.999989175,557.00004943,175.999997925
"32","Machine-c",35691.2203605946,874.779664565956,1903.000000867,2718.999999081,19211.000176175,9772.000005632,5622.000047636,10595.999994552
"33","Marine-c",2431.47757108888,83.5223524456348,57.999999576,84.000011172,467.000203626,105.000092994,119.999946021,148.999941038
"34","Meat-c",10190.99999736,507.999998376,0,0,37359.99995265,5969.999930985,0,6284.999999187
"35","Mineral-c",0,0,0,0,0,0,43.99997072,0
"36","Mining-c",0,0,0,0,0,0,88.999950988,261.000033147
"37","MissCrop-c",0,0,0,0,109722.00005992,0,1948.99997886,116330.999797705
"38","MissLstock-c",3222.999961272,479.000001384,0,0,6883.99985925,1093.000085215,0,10724.99998878
"39","MissManu-c",202279.546372876,5328.45388152138,0,0,152.00018211,57.9999802705,49.00001846,3.9999963465
"40","MissTrans-c",47709.1550413477,1637.84475739681,956.000023668,1429.000015762,14621.0001153,28686.999947573,9036.000068926,3991.999988572
"41","nonISmetal-c",0,0,0,0,0,0,306.00000064,175.99998906
"42","Nres",-9.74317726740777,-0.256841717941254,0,0,-87.999935374,0,0,0
"43","Oil-c",0,0,0,0,0,0,0,0
"44","Oilpro-c",491.829085708303,10.1709128484968,9.000001824,9.000003465,15.0000090013,168.0000335109,18.9999976796,10.0000017
"45","Pork-c",4176.00001728,906.999999408,0,0,5889.000246525,4629.99999226,0,7547.000026293
"46","Potato-c",0,0,0,27671.99999978,0,0,0,0
"47","Poultry-c",1643.999994,372.000000672,0,0,54540.999718575,9614.00006795,0,2752.999966773
"48","Ptaxetc",242634.88311199,6708.11703630803,18818.000007505,17874.000004821,49383.000038047,29232.999989949,7849.000007266,50503.000016228
"49","Ptaxin",76576.5472382544,2185.45273774807,1270.999992495,2382.999995179,85086.000031708,40704.000010051,7176.999992734,14318.999983772
"50","Public-c",220.174840928586,2.82525607029917,0,0,191.00000361842,255.00000128259,597.999972545,1367.0000319258
"51","Rail-c",52.7671653641505,1.23283799395035,0,0,13.0000083402,3.9999995733,2.0000069588,12.99999767148
"52","Rice-c",6175328.88478968,159521.213929006,3408.999999461,6864.000000191,48961.000333719,4029.000074755,1742.00001096,71761.000025309
"53","Road-c",88173.236094015,2440.76426737015,382.000003496,1090.000005534,9758.999491536,2437.000038725,5620.000065272,3162.999927816
"54","Semidis-c",670.578994043698,6.42103064068974,0,0,645.999778575,0,0,613.000011267
"55","Ship-c",7667.999989776,160.000000342,469.999999133,320.000000919,6472.000000188,3005.99999921,653.99999877,483.99999921
"56","Vegi-c",0,0,0,0,1543.000059632,0,0,0
"57","Waste-c",685.918456258148,18.0816247797976,0,0,0,0,2587.000011141,28.999968944
"58","WoodPaper-c",15045.7087653645,387.291368705889,26.000000397,5191.000005105,134042.000002425,103996.00022539,1615.99985438,16402.000049981
