"","Group.1","rice.x_piece","barley.x_piece","bean.x_piece","potato.x_piece","vegi.x_piece","fruit.x_piece","flower.x_piece","misscrop.x_piece","nrice.x_piece"
"1","Air-c",9.999987408,0,0,59.000007847,64.9999683048,49.999925203,2479.000075439,277.99995619,552.000010455
"2","Auto-c",212.999957352,0,568.00000089,0,1997.99983905,5243.000036175,165.000002548,562.999963302,188.99999403
"3","Barley-c",0,5230.000001096,0,0,0,0,0,0,50515.997888601
"4","Bean-c",0,0,450.000000539,0,20019.000005072,0,0,0,0
"5","Capital",4839994,129433,469114,358778,5672932,2250830,696339,1683165,100899
"6","Cement-c",77.99998752,69.999997896,0,0,368.0001204,654.0000033,0,341.000034984,0
"7","Chemistry-c",631821.999962528,16615.000000152,20338.000002231,33103.000003091,1398465.00052275,507676.99998335,175203.000124152,134885.999972411,959.99998317
"8","Coal-c",0,0,0,0,0,0,0,0,0
"9","CoalPro-c",0,0,0,0,44569.999934949,1617.999978255,37686.999870479,0,0
"10","Commercial-c",760953.999358704,16296.0000512284,21492.000018922,32318.000099567,709761.001257057,247010.000023902,137193.000037211,139092.000078777,170901.999366435
"11","Const-c",13926.99999772,645.00000033,402.99999993,800.999999554,20269.99999152,8831.000002026,5845.000002664,4323.999995166,1527.000001216
"12","Dairy-c",2339.999959752,195.000002064,0,0,3529.00016175,722.99992978,0,14.999976936,0
"13","Diesel-c",74910.000027093,3672.999998208,5909.999999464,5749.999997178,60104.000064382,50616.000026919,226687.999881315,11846.99999475,1351.000006935
"14","ELEC-c",14133.999898529,394.999996608,1147.00000272,1092.000002915,8572.999858591,17033.000042112,15546.999996885,1508.0000004,16831.99999518
"15","Electronics-c",11.00000538,0,0,0,634.00014633,854.000077011,7440.999930384,884.000054007,115.00001415
"16","FF-c",4387.99996908,268.000002144,394.000000002,355.00000599,18205.999923075,9359.99995781,642.999960224,3965.999954364,0
"17","FiberLeather-c",31523.000142816,1187.00000064,955.000000962,15.000004584,86341.00006695,5138.00021254,1054.00006462,17985.99992049,1942.99998894
"18","Flower-c",0,0,0,0,0,0,84471.00001018,0,23.99997256083
"19","Food-c",573.999956712,21.000000816,54.000000117,21.000009213,756.000018225,1011.999839875,425.999910572,5933.000021067,163.99999869
"20","Fruit-c",0,0,0,0,0,0,0,0,0
"21","Fueloil-c",29.999966486,0,0,0,1409.000066481,10345.999959621,24407.000024137,35.9999919,3138.99999299
"22","GAS-c",62.000016393,0,0,0,125.999952898,33.999994782,2850.999857363,341.99999415,1790.999994625
"23","Gasoline-c",8602.000029931,236.000000064,690.999996456,663.999997546,6046.000028545,1842.999972648,466.999848351,1744.000008525,1499.00000962
"24","HEAT-c",0,0,0,0,0,0,0,0,0
"25","Housing-c",0,0,0,0,0,0,0,0,0
"26","IS-c",0,0,0,0,2128.999932825,787.000005915,13583.999938092,0,0
"27","Jetoil-c",0,0,0,0,0,0,0,0,0
"28","Kerosene-c",756.000005411,18.999998976,57.00000372,57.999999557,157377.999899431,33.999994782,1725.999978442,2111.999992875,764.00000154
"29","Labor",95018,6437,13953,35963,498058,216959,55854,182279,165053
"30","LNG-c",0,0,0,0,0,0,0,0,0
"31","LPG-c",232.999983496,93.000001728,18.000003648,17.999999339,671.999934718,258.999989175,557.00004943,175.999997925,1042.9999941
"32","Machine-c",34296.000010136,837.999999658,1903.000000867,2718.999999081,19211.000176175,9772.000005632,5622.000047636,10595.999994552,1432.00001508
"33","Marine-c",477.00012256,32.000006688,57.999999576,84.000011172,467.000203626,105.000092994,119.999946021,148.999941038,2005.99978989
"34","Meat-c",10190.99999736,507.999998376,0,0,37359.99995265,5969.999930985,0,6284.999999187,0
"35","Mineral-c",0,0,0,0,0,0,43.99997072,0,0
"36","Mining-c",0,0,0,0,0,0,88.999950988,261.000033147,0
"37","MissCrop-c",0,0,0,0,109722.00005992,0,1948.99997886,116330.999797705,0
"38","MissLstock-c",3222.999961272,479.000001384,0,0,6883.99985925,1093.000085215,0,10724.99998878,0
"39","MissManu-c",146.999925072,0,0,0,152.00018211,57.9999802705,49.00001846,3.9999963465,207460.99987467
"40","MissTrans-c",7163.00010496,568.999979808,956.000023668,1429.000015762,14621.0001153,28686.999947573,9036.000068926,3991.999988572,41614.9996227696
"41","nonISmetal-c",0,0,0,0,0,0,306.00000064,175.99998906,0
"42","Nres",0,0,0,0,-87.999935374,0,0,0,-10.000018953
"43","Oil-c",0,0,0,0,0,0,0,0,0
"44","Oilpro-c",105.9999935946,0,9.000001824,9.000003465,15.0000090013,168.0000335109,18.9999976796,10.0000017,396.00000501
"45","Pork-c",4176.00001728,906.999999408,0,0,5889.000246525,4629.99999226,0,7547.000026293,0
"46","Potato-c",0,0,0,27671.99999978,0,0,0,0,0
"47","Poultry-c",1643.999994,372.000000672,0,0,54540.999718575,9614.00006795,0,2752.999966773,0
"48","Ptaxetc",233033.00011934,6455.000003166,18818.000007505,17874.000004821,49383.000038047,29232.999989949,7849.000007266,50503.000016228,9854.999993912
"49","Ptaxin",40255.99988066,1227.999996834,1270.999992495,2382.999995179,85086.000031708,40704.000010051,7176.999992734,14318.999983772,37277.999977918
"50","Public-c",112.9999987408,0,0,0,191.00000361842,255.00000128259,597.999972545,1367.0000319258,110.000098017
"51","Rail-c",6.0000001384,0,0,0,13.0000083402,3.9999995733,2.0000069588,12.99999767148,48.0000031145
"52","Rice-c",143080.999961872,503.999998904,3408.999999461,6864.000000191,48961.000333719,4029.000074755,1742.00001096,71761.000025309,6191264.99708361
"53","Road-c",4233.00025536,228.00000288,382.000003496,1090.000005534,9758.999491536,2437.000038725,5620.000065272,3162.999927816,86152.999914325
"54","Semidis-c",427.00003164,0,0,0,645.999778575,0,0,613.000011267,249.99999294
"55","Ship-c",7667.999989776,160.000000342,469.999999133,320.000000919,6472.000000188,3005.99999921,653.99999877,483.99999921,0
"56","Vegi-c",0,0,0,0,1543.000059632,0,0,0,0
"57","Waste-c",0,0,0,0,0,0,2587.000011141,28.999968944,704.000079495
"58","WoodPaper-c",923.000112216,15.000001272,26.000000397,5191.000005105,134042.000002425,103996.00022539,1615.99985438,16402.000049981,14495.00001453
